H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
,,,1279,04 08 45.0,C15 12 39,sdbm,6.02,C0.40,,C0.46,,F3 V,,
48,MX,Per,1273,04 10 00.7,C47 45 37,,3.96,0.03,,C0.08,,B3 Ve,,
43,,Tau,1283,04 10 14.8,C19 39 24,,5.51,C1.08,,C1.05,,K1 III,,
,,,1270,04 11 02.3,C59 57 20,s,6.29,C1.11,,C1.16,,G8 IIa,,
44,IM,Tau,1287,04 11 57.7,C26 31 40,v,5.39,C0.35,,C0.41,,F2 IV,V,
38,o1,Eri,1298,04 12 46.2,06 47 26,,4.04,C0.33,,C0.38,,F1 IV,,
," ̨",Hor,1326,04 14 37.0,42 14 59,,3.85,C1.09,,C1.09,,K2 III,,
," ̨",Ret,1336,04 14 40.0,62 25 40,db,3.33,C0.92,,C0.91,,G8 II,III,
40,o2,Eri,1325,04 16 07.4,07 37 31,d,4.43,C0.82,,C0.89,,K0.5 V,,
51,,Per,1303,04 16 15.8,C48 27 16,db,4.12,C0.94,,C0.93,,G0 Ib,,
,,Dor,1338,04 16 30.8,51 26 26,v,4.26,C0.31,,C0.37,,F1 VC,,
49,,Tau,1320,04 16 32.5,C08 56 15,b,4.27,0.05,,0.02,,B3 IV,,
,,Ret,1355,04 16 48.4,59 15 29,d,4.44,C1.08,,C1.05,,K2 IV,,
48,,Tau,1319,04 16 49.4,C15 26 44,sd,6.31,C0.40,,C0.46,,F3 V,,
41,,Eri,1347,04 18 35.7,33 45 15,db,3.55,0.11,,0.09,,B9p Mn,,
54,,Tau,1346,04 20 50.9,C15 40 15,db,3.65,C0.98,,C0.95,,G9.5 IIIab CN 0.5,,
57 v483,,Tau,1351,04 21 00.4,C14 04 42,sdb,5.58,C0.28,,C0.33,,F0 IV,,

"BRIGHT STARS,",,,,,,,J2018.5,,,,,,H7,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
