"BRIGHT STARS,",Ascension,Declination
3765,09 30 00.6,36 01 58
3786,09 31 25.9,40 32 55
3821,09 31 43.9,73 09 47
3803,09 31 47.1,57 06 59
3816,09 32 42.5,62 52 16
3773,09 32 46.4,C22 53 08
3782,09 32 56.5,C11 13 01
3757,09 32 58.1,C62 58 47
3808,09 34 03.6,21 11 54
3775,09 34 05.1,C51 35 31
3825,09 34 58.9,59 18 46
3800,09 35 21.1,C36 18 52
3799,09 36 04.9,C51 58 05
3771,09 36 05.1,C69 44 51
3836,09 37 29.4,49 26 18
3834,09 39 25.1,C04 33 54
3751,09 39 35.5,C81 14 33
3845,09 40 48.0,01 13 39
3849,09 41 11.6,14 25 01
3852,09 42 08.2,C09 48 26
3866,09 44 44.2,C13 56 10
3871,09 45 01.6,27 51 17
3884,09 45 45.3,62 35 37
3873,09 46 53.9,C23 41 18
3890,09 47 33.8,65 09 29
3882,09 48 33.1,C11 20 32
3881,09 49 46.5,C45 56 02
3888,09 52 17.4,C58 57 03
3903,09 52 22.1,14 56 03
3905,09 53 48.7,C25 55 08
3923,09 55 44.6,19 05 52
3940,09 57 30.8,54 39 23
3928,09 58 48.6,C40 58 00
3947,09 59 40.0,35 58 48
3950,10 01 11.4,C07 57 17
3951,10 02 04.4,C31 49 55
3970,10 06 01.6,13 09 18
3975,10 08 20.3,C16 40 18
3974,10 08 30.9,C35 09 14
3980,10 08 53.1,C09 54 22
3981,10 08 53.1,00 27 46
3982,10 09 21.3,C11 52 34
3994,10 11 29.4,12 26 46
4037,10 14 10.5,70 07 48
4023,10 15 30.9,42 12 51
4050,10 17 42.2,61 25 30
4031,10 17 43.0,C23 19 28
4033,10 18 12.3,C42 49 17
4042,10 18 33.0,08 09 43
4049,10 18 58.6,29 05 06
4057,10 20 59.4,C19 44 50
4080,10 23 07.4,41 44 37
4069,10 23 25.5,C41 24 21
4086,10 24 18.1,38 06 15
4102,10 24 45.5,74 07 33
4072,10 25 26.6,C65 28 20
4094,10 26 59.2,16 55 52
4104,10 28 00.0,31 09 45
4114,10 28 33.7,58 50 03
4100,10 28 56.8,C36 36 42
4116,10 30 25.1,02 50 03
4112,10 31 47.9,C55 53 06
4140,10 32 41.2,61 46 51
4127,10 33 10.9,C14 02 30
4084,10 33 11.1,C82 27 47
4143,10 33 43.9,47 05 57
4133,10 33 47.0,C09 12 39
4145,10 34 53.8,23 50 27
4174,10 35 40.4,78 42 14
4159,10 36 18.2,57 39 14
4141,10 36 20.4,C56 59 12
4126,10 36 36.9,C75 37 00
4167,10 38 05.0,48 19 19
4166,10 39 45.4,C31 52 47
4180,10 40 02.8,55 42 00
4199,10 43 37.3,64 29 30
4181,10 44 22.0,C68 58 44
4192,10 44 25.1,C23 05 28
4191,10 44 37.7,C46 06 22
4234,10 45 56.2,80 38 16
4203,10 46 53.4,C30 35 04
4208,10 47 24.2,C18 47 37
4216,10 47 34.2,49 31 06
